,erf
1750,0.2463910075
1751,0.24641247
1752,0.2464196812
1753,0.2464221032
1754,0.246422921
1755,-0.1167286837
1756,-0.0044965501
1757,0.156275043
1758,0.2158749964
1759,0.2361496875
1760,0.2429717505
1761,0.2452638878
1762,0.2460338601
1763,-0.890820615
1764,-0.5395121362
1765,-0.0359522733
1766,0.1507352044
1767,0.214242681
1768,-0.3132902266
1769,-0.1364722715
1770,0.1089447639
1771,0.1998399031
1772,0.2307571246
1773,0.2411600544
1774,0.2446553102
1775,0.2458294363
1776,0.2462238378
1777,0.2463563195
1778,0.2464008215
1779,0.2464157667
1780,0.2464207871
1781,0.2464224701
1782,0.2464230326
1783,0.2464232296
1784,-2.0611524538
1785,-1.3499451536
1786,-0.3271061433
1787,0.0520726791
1788,0.1810616709
1789,0.2244641131
1790,0.2390468296
1791,0.2439454788
1792,0.2455909914
1793,0.2461437296
1794,0.2463294057
1795,0.2463917794
1796,0.0251823128
1797,0.093560599
1798,0.1915042212
1799,0.2278130192
1800,0.2401645355
1801,0.2443205995
1802,0.2457169847
1803,0.246186063
1804,0.2463436281
1805,0.2463965595
1806,0.2464143388
1807,0.2464203048
1808,0.2464223102
1809,0.246422982
1810,-3.2831932421
1811,-2.2122185784
1812,-0.6369268283
1813,-0.0529159596
1814,0.1457532477
1815,0.2126017681
1816,-6.4557588646
1817,-4.7502341038
1818,-1.5605221252
1819,-0.3662101581
1820,0.0403756675
1821,0.1771979805
1822,0.2231692423
1823,-0.0159504444
1824,0.0678712399
1825,0.182334458
1826,0.2247082747
1827,0.2391205049
1828,0.2439698484
1829,0.2455991617
1830,0.2461464781
1831,0.2463303338
1832,-3.3428339088
1833,-2.3130540169
1834,-0.6731924624
1835,-0.0652062484
1836,-1.0268141928
1837,-0.5963156946
1838,-0.0555369493
1839,0.1441335498
1840,0.2120240771
1841,0.2348664762
1842,0.2425411631
1843,0.2451192599
1844,0.2459852751
1845,-0.0563503501
1846,0.0372741265
1847,0.1712831884
1848,0.2209608171
1849,0.2378600859
1850,0.2435463848
1851,0.245486068
1852,0.2458425229
1853,0.2384931706
1854,0.2460232293
1855,0.2466493615
1856,-0.1737114458
1857,-0.0383046033
1858,0.146673648
1859,0.2137042741
1860,0.2360166856
1861,0.2433782007
1862,0.1183075707
1863,0.0942383564
1864,-0.692119028
1865,-0.3628009834
1866,0.0383464636
1867,0.1784446682
1868,0.2247318747
1869,0.2398717841
1870,0.2448160719
1871,0.2464303694
1872,0.2469560199
1873,0.2409156571
1874,0.1332370948
1875,0.2406238955
1876,0.2471623298
1877,0.2191542759
1878,0.2284429656
1879,0.2406464205
1880,0.2422421543
1881,0.1941948871
1882,0.1929414276
1883,0.2438669648
1884,-0.2772184652
1885,-1.8479690878
1886,-0.7596845923
1887,-0.1576062547
1888,-0.0033857995
1889,0.1810866267
1890,0.2379160075
1891,0.0735332451
1892,-0.0756281998
1893,-0.0373445156
1894,0.1507103198
1895,0.2157740306
1896,0.2366809402
1897,0.24263756
1898,0.2441568702
1899,0.2444019302
1900,0.2442873474
1901,0.2440696022
1902,0.2438473776
1903,0.0078887326
1904,-0.7005588721
1905,-0.2457716797
1906,0.1207768282
1907,0.2256785587
1908,0.0634446857
1909,0.176417571
1910,0.2420368716
1911,0.2417920455
1912,0.2415430948
1913,-0.3409978869
1914,-0.2489603434
1915,0.0525216518
1916,0.2145135719
1917,0.2398327877
1918,0.2399610449
1919,0.2396852647
1920,0.2394033794
1921,0.239117427
1922,0.2388273387
1923,0.0998493089
1924,0.1641370043
1925,0.2379323745
1926,0.2376257985
1927,0.2373151548
1928,0.2370003551
1929,0.1982873347
1930,0.0096175965
1931,0.2360313206
1932,0.2357000869
1933,0.0501376147
1934,0.1969343492
1935,0.2346816647
1936,0.2343339787
1937,0.2339821631
1938,0.2336262383
1939,0.2332661892
1940,0.2329020325
1941,0.2325337569
1942,0.232161381
1943,0.2317848567
1944,0.2314042374
1945,0.2310194981
1946,0.2306306754
1947,0.2302376859
1948,0.2298406128
1949,0.2294394312
1950,0.2290341141
1951,0.2286247058
1952,0.2282111601
1953,0.2277935062
1954,0.2273717538
1955,0.226945857
1956,0.2265158551
1957,0.2260817596
1958,0.2256435167
1959,0.2252011826
1960,0.2247547303
1961,0.2243041762
1962,0.2127160527
1963,0.0220437663
1964,-0.8663060422
1965,-0.6189029143
1966,-0.2984866121
1967,0.1551610223
1968,-0.105414249
1969,0.011417295
1970,0.0978290012
1971,0.0936909704
1972,-0.0434637343
1973,0.0720323609
1974,0.202489417
1975,0.0706504377
1976,-0.1766556956
1977,0.0833810452
1978,0.1680283649
1979,0.1930150157
1980,0.1775725169
1981,0.1323814603
1982,0.1003390811
1983,-0.2453383922
1984,-0.7069586845
1985,-0.2433190495
1986,0.0205474613
1987,0.0189671764
1988,0.0969258525
1989,0.1509358698
1990,0.1880111598
1991,0.1836910187
1992,-0.5286111757
1993,-1.7412044776
1994,-0.7475364435
1995,-0.0409989132
1996,0.132348997
1997,0.1951747143
1998,0.2157444217
1999,0.2174028305
2000,0.2208896532
2001,0.221536499
2002,0.2162760859
2003,0.2230598804
2004,0.2067048448
2005,0.2176197499
2006,0.1898938739
2007,0.174788799
2008,0.1611807722
2009,0.177720132
2010,0.1506190192
2011,0.1832283099
2012,0.1445843632
2013,0.1801764559
2014,0.2031916582
2015,0.1848446626
2016,0.1560766241
2017,0.1736159585
2018,0.1970402538
2019,0.1863436822
2020,0.1863436822
2021,0.167709314
2022,0.1490749458
2023,0.1304405775
2024,0.1118062093
2025,0.0931718411
2026,0.0745374729
2027,0.0559031047
2028,0.0372687364
2029,0.0186343682
2030,0
2031,0
2032,0
2033,0
2034,0
2035,0
2036,0
2037,0
2038,0
2039,0
2040,0
2041,0
2042,0
2043,0
2044,0
2045,0
2046,0
2047,0
2048,0
2049,0
2050,0
2051,0
2052,0
2053,0
2054,0
2055,0
2056,0
2057,0
2058,0
2059,0
2060,0
2061,0
2062,0
2063,0
2064,0
2065,0
2066,0
2067,0
2068,0
2069,0
2070,0
2071,0
2072,0
2073,0
2074,0
2075,0
2076,0
2077,0
2078,0
2079,0
2080,0
2081,0
2082,0
2083,0
2084,0
2085,0
2086,0
2087,0
2088,0
2089,0
2090,0
2091,0
2092,0
2093,0
2094,0
2095,0
2096,0
2097,0
2098,0
2099,0
2100,0
2101,0
2102,0
2103,0
2104,0
2105,0
2106,0
2107,0
2108,0
2109,0
2110,0
2111,0
2112,0
2113,0
2114,0
2115,0
2116,0
2117,0
2118,0
2119,0
2120,0
2121,0
2122,0
2123,0
2124,0
2125,0
2126,0
2127,0
2128,0
2129,0
2130,0
2131,0
2132,0
2133,0
2134,0
2135,0
2136,0
2137,0
2138,0
2139,0
2140,0
2141,0
2142,0
2143,0
2144,0
2145,0
2146,0
2147,0
2148,0
2149,0
2150,0
2151,0
2152,0
2153,0
2154,0
2155,0
2156,0
2157,0
2158,0
2159,0
2160,0
2161,0
2162,0
2163,0
2164,0
2165,0
2166,0
2167,0
2168,0
2169,0
2170,0
2171,0
2172,0
2173,0
2174,0
2175,0
2176,0
2177,0
2178,0
2179,0
2180,0
2181,0
2182,0
2183,0
2184,0
2185,0
2186,0
2187,0
2188,0
2189,0
2190,0
2191,0
2192,0
2193,0
2194,0
2195,0
2196,0
2197,0
2198,0
2199,0
2200,0
2201,0
2202,0
2203,0
2204,0
2205,0
2206,0
2207,0
2208,0
2209,0
2210,0
2211,0
2212,0
2213,0
2214,0
2215,0
2216,0
2217,0
2218,0
2219,0
2220,0
2221,0
2222,0
2223,0
2224,0
2225,0
2226,0
2227,0
2228,0
2229,0
2230,0
2231,0
2232,0
2233,0
2234,0
2235,0
2236,0
2237,0
2238,0
2239,0
2240,0
2241,0
2242,0
2243,0
2244,0
2245,0
2246,0
2247,0
2248,0
2249,0
2250,0
2251,0
2252,0
2253,0
2254,0
2255,0
2256,0
2257,0
2258,0
2259,0
2260,0
2261,0
2262,0
2263,0
2264,0
2265,0
2266,0
2267,0
2268,0
2269,0
2270,0
2271,0
2272,0
2273,0
2274,0
2275,0
2276,0
2277,0
2278,0
2279,0
2280,0
2281,0
2282,0
2283,0
2284,0
2285,0
2286,0
2287,0
2288,0
2289,0
2290,0
2291,0
2292,0
2293,0
2294,0
2295,0
2296,0
2297,0
2298,0
2299,0
2300,0
